SEX,AGE,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018
2,16,2100105,2100158,2098160,2068277,2036679,2034600,2036165,2044168,2085676,2065150,2023998
2,17,2132142,2132181,2123446,2108106,2077974,2046487,2045433,2047386,2055917,2096598,2076491
2,18,2195382,2195450,2184966,2135511,2119750,2089724,2059475,2058833,2061317,2068893,2109928
2,19,2243250,2243405,2236175,2198150,2147848,2132012,2103152,2073125,2072975,2074601,2082304
2,20,2210810,2210977,2236386,2249560,2210764,2159731,2144723,2116359,2086780,2085601,2087209
2,21,2131096,2131207,2146603,2249843,2263108,2223786,2173548,2158814,2130879,2099946,2098900
2,22,2086845,2086923,2098462,2161010,2264338,2277788,2239380,2189647,2175312,2145921,2115157
2,23,2057772,2057844,2065822,2113953,2176121,2279757,2294509,2256726,2207357,2191622,2162394
2,24,2085300,2085371,2082025,2081719,2129725,2191646,2296998,2312341,2274932,2223950,2208372
2,25,2101042,2101108,2112016,2098278,2097589,2145235,2208475,2315028,2330611,2291364,2240559
2,26,2055217,2055293,2058264,2127260,2113232,2112664,2161337,2226297,2332732,2346583,2307677
2,27,2108218,2108291,2101721,2072352,2141549,2127403,2128389,2178689,2243386,2348170,2362325
2,28,2096644,2096706,2112400,2114795,2085432,2154369,2141760,2144315,2194360,2257206,2362288
2,29,2105137,2105194,2097854,2123915,2126405,2097239,2167578,2156246,2158641,2206951,2270069
2,30,2124866,2124932,2136673,2108030,2134127,2137275,2109740,2181155,2169738,2170287,2218983
2,31,1982063,1982132,2015983,2145611,2117038,2143157,2147676,2121628,2192663,2179551,2180487
2,32,1992371,1992435,1981281,2023735,2153431,2124859,2151876,2157939,2131565,2200928,2188295
2,33,1943287,1943335,1969759,1988184,2030723,2160381,2132757,2161240,2167260,2139487,2209229
2,34,1923012,1923061,1913300,1976077,1994506,2036817,2167491,2141493,2169706,2174438,2147153
2,35,1975518,1975593,1973520,1919044,1981666,2000026,2042751,2175025,2148684,2175644,2180901
2,36,1911492,1911543,1922653,1978342,1924055,1986628,2005442,2049160,2181283,2153687,2181088
2,37,1981059,1981105,1962054,1926786,1982719,1928514,1991564,2011281,2054718,2185729,2158541
2,38,2072160,2072223,2051989,1965583,1930579,1986478,1933107,1996837,2016438,2058817,2190232
