pop,age,lx
FL,85,44599
FL,86,41554
FL,87,38257
FL,88,34840
FL,89,31365
FL,90,27899
FL,91,24363
FL,92,20886
FL,93,17568
FL,94,14405
FL,95,11679
FL,96,9264
FL,97,7167
FL,98,5397
FL,99,3950
FL,100,2804
GA,0,100000
GA,1,99284
GA,2,99232
GA,3,99206
GA,4,99183
GA,5,99160
GA,6,99143
GA,7,99126
GA,8,99114
GA,9,99101
GA,10,99090
GA,11,99074
GA,12,99064
GA,13,99043
GA,14,99026
GA,15,99001
GA,16,98959
GA,17,98902
GA,18,98823
GA,19,98739
GA,20,98644
GA,21,98536
GA,22,98411
GA,23,98280
GA,24,98145
GA,25,98007
GA,26,97887
GA,27,97725
GA,28,97552
GA,29,97401
GA,30,97232
GA,31,97044
GA,32,96845
GA,33,96661
GA,34,96465
GA,35,96252
GA,36,96019
GA,37,95779
GA,38,95528
GA,39,95295
GA,40,95030
GA,41,94770
GA,42,94489
GA,43,94198
GA,44,93908
GA,45,93575
GA,46,93256
GA,47,92957
GA,48,92573
GA,49,92186
GA,50,91757
GA,51,91314
GA,52,90819
GA,53,90287
GA,54,89743
GA,55,89146
GA,56,88511
GA,57,87815
GA,58,87045
GA,59,86152
GA,60,85285
GA,61,84340
GA,62,83259
GA,63,82146
GA,64,80971
GA,65,79766
GA,66,78458
GA,67,77121
GA,68,75709
GA,69,74205
GA,70,72624
GA,71,70946
GA,72,69282
GA,73,67391
GA,74,65414
GA,75,63333
GA,76,61046
GA,77,58937
GA,78,56568
GA,79,53923
GA,80,51117
GA,81,48312
GA,82,45311
GA,83,42155
GA,84,38880
GA,85,35609
GA,86,32333
GA,87,28978
GA,88,25722
GA,89,22621
GA,90,19478
GA,91,16481
GA,92,13718
GA,93,11176
GA,94,8953
GA,95,6958
GA,96,5311
GA,97,3952
GA,98,2863
GA,99,2016
GA,100,1378
HI,0,100000
HI,1,99437
HI,2,99373
HI,3,99335
HI,4,99292
HI,5,99286
HI,6,99257
HI,7,99257
HI,8,99251
HI,9,99245
HI,10,99234
HI,11,99228
HI,12,99211
HI,13,99193
HI,14,99163
HI,15,99115
HI,16,99066
HI,17,99059
HI,18,99015
HI,19,98969
HI,20,98916
HI,21,98861
HI,22,98798
HI,23,98748
HI,24,98675
HI,25,98608
HI,26,98530
HI,27,98377
HI,28,98312
HI,29,98259
HI,30,98196
HI,31,98116
HI,32,97974
HI,33,97896
HI,34,97752
HI,35,97612
HI,36,97499
HI,37,97390
HI,38,97261
HI,39,97098
HI,40,96946
HI,41,96734
HI,42,96543
HI,43,96328
HI,44,96100
HI,45,95870
HI,46,95612
HI,47,95320
HI,48,95003
HI,49,94690
HI,50,94375
HI,51,94004
HI,52,93520
HI,53,93153
HI,54,92574
HI,55,92039
HI,56,91478
HI,57,90839
HI,58,90240
HI,59,89538
HI,60,88966
HI,61,88252
HI,62,87419
HI,63,86643
HI,64,85769
HI,65,84882
HI,66,83912
HI,67,82798
HI,68,81793
HI,69,80736
HI,70,79550
HI,71,78344
HI,72,77138
HI,73,75810
HI,74,74280
HI,75,72852
HI,76,70987
HI,77,69335
HI,78,67534
HI,79,65371
HI,80,63244
HI,81,60785
HI,82,58412
HI,83,56031
HI,84,53335
HI,85,50242
HI,86,47452
HI,87,44673
HI,88,41418
HI,89,38170
HI,90,34698
HI,91,31271
HI,92,27762
HI,93,24085
HI,94,20627
HI,95,17276
HI,96,14196
HI,97,11404
HI,98,8940
HI,99,6825
HI,100,5065
ID,0,100000
ID,1,99474
ID,2,99434
ID,3,99421
ID,4,99408
ID,5,99404
ID,6,99392
ID,7,99388
ID,8,99373
ID,9,99369
ID,10,99358
ID,11,99354
ID,12,99335
ID,13,99314
ID,14,99293
ID,15,99242
ID,16,99191
ID,17,99142
ID,18,99118
ID,19,99078
ID,20,99004
ID,21,98909
ID,22,98835
ID,23,98748
ID,24,98639
ID,25,98528
ID,26,98418
ID,27,98287
ID,28,98155
ID,29,97985
ID,30,97899
ID,31,97765
ID,32,97628
ID,33,97506
ID,34,97321
ID,35,97149
ID,36,96998
ID,37,96860
ID,38,96715
ID,39,96547
ID,40,96341
ID,41,96151
ID,42,95919
ID,43,95728
ID,44,95517
ID,45,95311
ID,46,95018
ID,47,94758
ID,48,94466
ID,49,94159
ID,50,93791
ID,51,93452
ID,52,93086
ID,53,92614
ID,54,92182
ID,55,91696
ID,56,91136
ID,57,90593
ID,58,89962
ID,59,89321
ID,60,88640
ID,61,87856
ID,62,87135
ID,63,86293
ID,64,85292
ID,65,84379
ID,66,83386
ID,67,82331
ID,68,81182
ID,69,79956
ID,70,78724
ID,71,77308
ID,72,75725
ID,73,74199
ID,74,72424
ID,75,70606
ID,76,68384
ID,77,66108
ID,78,63527
ID,79,60911
ID,80,58261
ID,81,55276
ID,82,52017
ID,83,49033
ID,84,45148
ID,85,41460
ID,86,37396
ID,87,33681
ID,88,29732
ID,89,25793
ID,90,22213
ID,91,18567
ID,92,15278
ID,93,12348
ID,94,9573
ID,95,7296
ID,96,5403
ID,97,3880
ID,98,2698
ID,99,1813
ID,100,1177
IL,0,100000
IL,1,99449
IL,2,99405
IL,3,99379
IL,4,99354
IL,5,99342
IL,6,99331
IL,7,99318
IL,8,99306
IL,9,99292
IL,10,99285
IL,11,99280
IL,12,99266
IL,13,99251
IL,14,99231
IL,15,99203
IL,16,99167
IL,17,99129
IL,18,99068
IL,19,98982
IL,20,98903
IL,21,98805
IL,22,98713
IL,23,98612
IL,24,98507
IL,25,98397
IL,26,98288
IL,27,98161
IL,28,98024
IL,29,97889
IL,30,97739
IL,31,97566
IL,32,97405
IL,33,97231
IL,34,97046
IL,35,96876
IL,36,96695
IL,37,96521
IL,38,96312
IL,39,96100
IL,40,95883
IL,41,95655
IL,42,95424
IL,43,95187
IL,44,94928
