Austria, Female population exposure by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 05/08/2021
Year    Age        Exposure
1964     47        31027.58
1964     48        34167.90
1964     49        48020.66
1964     50        53472.67
1964     51        54621.19
1964     52        54590.41
1964     53        54814.16
1964     54        55863.98
1964     55        55066.45
1965     12        47663.76
1965     13        47066.68
1965     14        47524.27
1965     15        48315.80
1965     16        51456.51
1965     17        52733.23
1965     18        52324.40
1965     19        39087.63
1965     20        46386.79
1965     21        52170.96
1965     22        50639.52
1965     23        56017.00
1965     24        60485.61
1965     25        64780.72
1965     26        52087.35
1965     27        39644.30
1965     28        38203.21
1965     29        38352.40
1965     30        38791.76
1965     31        39700.19
1965     32        41557.99
1965     33        42742.82
1965     34        44651.85
1965     35        45455.82
1965     36        45623.51
1965     37        46016.83
1965     38        48237.40
1965     39        51695.02
1965     40        54641.55
1965     41        56324.75
1965     42        57585.51
1965     43        57803.45
1965     44        57050.39
1965     45        52616.34
1965     46        36225.10
1965     47        28706.95
1965     48        30954.97
1965     49        34052.03
1965     50        47867.93
1965     51        53238.51
1965     52        54382.18
1965     53        54348.97
1965     54        54493.61
1965     55        55489.88
1966     12        48325.35
1966     13        47944.78
1966     14        47364.35
1966     15        47806.86
1966     16        48538.81
1966     17        51635.54
1966     18        52883.13
1966     19        52427.38
1966     20        39098.98
1966     21        46326.96
1966     22        52064.87
1966     23        50507.59
1966     24        55892.92
1966     25        60370.35
1966     26        64672.32
1966     27        52075.90
1966     28        39713.63
1966     29        38275.33
1966     30        38422.55
1966     31        38875.47
1966     32        39764.46
1966     33        41633.96
1966     34        42823.70
1966     35        44704.49
1966     36        45478.05
1966     37        45640.51
1966     38        46038.24
1966     39        48251.93
1966     40        51705.01
1966     41        54630.84
1966     42        56263.55
1966     43        57497.48
1966     44        57723.76
1966     45        56952.67
1966     46        52492.13
1966     47        36136.19
1966     48        28647.81
1966     49        30861.12
1966     50        33952.05
1966     51        47692.99
1966     52        53011.31
1966     53        54131.21
1966     54        54083.04
1966     55        54189.61
1967     12        49886.98
1967     13        48580.76
1967     14        48248.64
1967     15        47706.13
1967     16        46588.70
1967     17        48842.76
1967     18        51922.19
1967     19        53189.62
1967     20        52688.87
1967     21        39233.13
1967     22        46389.05
1967     23        52052.14
1967     24        50465.12
1967     25        55857.06
1967     26        60313.28
1967     27        64603.87
1967     28        52102.15
1967     29        39812.25
1967     30        38367.44
1967     31        38517.71
1967     32        38977.91
1967     33        39861.75
1967     34        41724.91
1967     35        42914.74
1967     36        44782.99
1967     37        45513.15
1967     38        45672.88
1967     39        46077.78
1967     40        48311.62
1967     41        51722.49
1967     42        54612.25
1967     43        56202.35
1967     44        57417.69
1967     45        57656.25
1967     46        56868.89
1967     47        52366.87
1967     48        36035.96
1967     49        28583.08
1967     50        32384.25
1967     51        33851.71
1967     52        47507.86
1967     53        52792.61
1967     54        53876.78
1967     55        53818.68
1968     12        52721.83
1968     13        50066.30
1968     14        48810.76
1968     15        48535.80
1968     16        46561.27
1968     17        48434.86
1968     18        49126.32
1968     19        52159.54
1968     20        53354.61
1968     21        52745.07
1968     22        39159.06
1968     23        46250.95
1968     24        51829.97
1968     25        50200.20
1968     26        55610.15
1968     27        60045.68
1968     28        64335.92
1968     29        51978.09
1968     30        39780.34
1968     31        38345.16
1968     32        38513.09
1968     33        38985.12
1968     34        39860.55
1968     35        41741.56
1968     36        42946.94
1968     37        44785.91
1968     38        45481.97
1968     39        45655.28
1968     40        46094.04
1968     41        48308.98
1968     42        51679.39
1968     43        54543.80
1968     44        56084.22
1968     45        57283.33
1968     46        57524.27
1968     47        56713.55
1968     48        52181.55
1968     49        35916.20
1968     50        29936.05
1968     51        30711.73
1968     52        33719.26
1968     53        47306.37
1968     54        52521.08
1968     55        53570.15
1969     12        54751.14
1969     13        52775.70
1969     14        50234.18
1969     15        49033.11
1969     16        48813.64
1969     17        48313.88
1969     18        48745.00
1969     19        49369.10
1969     20        52293.38
1969     21        53394.61
1969     22        52689.55
1969     23        39023.13
1969     24        46014.91
1969     25        51458.83
1969     26        49836.98
1969     27        55265.16
1969     28        59686.39
1969     29        64017.81
1969     30        51795.10
1969     31        39701.88
1969     32        38296.21
1969     33        38465.03
1969     34        38954.13
1969     35        39844.84
1969     36        41722.16
1969     37        42933.94
1969     38        44750.48
1969     39        45426.52
1969     40        45624.40
1969     41        46065.98
1969     42        48254.61
1969     43        51605.61
1969     44        54417.67
1969     45        55934.20
1969     46        57094.64
1969     47        57344.87
1969     48        56514.61
1969     49        51934.27
1969     50        35769.28
1969     51        28398.68
1969     52        30585.26
1969     53        33561.96
1969     54        47051.74
1969     55        52188.44
1970     12        55517.46
1970     13        54768.69
1970     14        52882.33
1970     15        50461.63
1970     16        49327.65
1970     17        49172.33
1970     18        48768.99
1970     19        49187.00
1970     20        49759.85
1970     21        52599.00
1970     22        53646.28
1970     23        52831.32
1970     24        39034.36
1970     25        45838.02
1970     26        51219.96
1970     27        49586.28
1970     28        55026.04
1970     29        59421.00
1970     30        63786.42
1970     31        51677.79
1970     32        39687.08
1970     33        38289.58
1970     34        38452.16
1970     35        38973.10
1970     36        39849.48
1970     37        41733.07
1970     38        42946.98
1970     39        44736.49
1970     40        45418.44
1970     41        45592.58
1970     42        46044.84
1970     43        48220.97
1970     44        51531.54
1970     45        54315.05
1970     46        55787.68
1970     47        56891.39
1970     48        57156.18
1970     49        56295.16
1970     50        51709.22
1970     51        35611.00
1970     52        28289.09
1970     53        30459.49
1970     54        33390.16
1970     55        46775.85
1971     12        57030.74
1971     13        55706.35
1971     14        54977.39
1971     15        53231.62
1971     16        50827.82
1971     17        49744.77
1971     18        49696.07
1971     19        49362.84
1971     20        49757.74
1971     21        50290.29
1971     22        53079.82
1971     23        54074.76
1971     24        53146.65
1971     25        39118.44
1971     26        45888.14
1971     27        51199.65
1971     28        49546.11
1971     29        54959.68
1971     30        59354.02
1971     31        63737.12
1971     32        51706.81
1971     33        39751.65
1971     34        38343.86
1971     35        38519.06
1971     36        39035.24
1971     37        39911.14
1971     38        41789.53
1971     39        42983.50
1971     40        44766.40
1971     41        45425.88
1971     42        45593.42
1971     43        46042.32
1971     44        48199.01
1971     45        51471.73
1971     46        54224.15
1971     47        55631.27
1971     48        56720.56
1971     49        56994.61
1971     50        56101.75
1971     51        51522.71
1971     52        35488.49
1971     53        28181.86
1971     54        30313.81
1971     55        33221.04
1972     12        59013.24
1972     13        57439.62
1972     14        56098.51
1972     15        55452.68
1972     16        53725.63
1972     17        51275.94
1972     18        50307.39
1972     19        50384.91
1972     20        50010.23
1972     21        50407.74
1972     22        50820.05
1972     23        53682.61
1972     24        54571.58
1972     25        53523.64
1972     26        39409.90
1972     27        46179.68
1972     28        51423.30
1972     29        49746.76
1972     30        55126.15
1972     31        59511.82
1972     32        63879.18
1972     33        51865.64
1972     34        39889.21
1972     35        38465.08
1972     36        38636.09
1972     37        39131.16
1972     38        39997.18
1972     39        41861.83
1972     40        43026.51
1972     41        44795.60
1972     42        45446.09
1972     43        45601.83
1972     44        46032.69
1972     45        48152.00
1972     46        51393.39
1972     47        54127.83
1972     48        55497.79
1972     49        56584.32
1972     50        56820.10
1972     51        55941.56
1972     52        51358.54
1972     53        35351.86
1972     54        28055.61
1972     55        30153.87
1973     12        61448.97
1973     13        59463.77
1973     14        57882.64
1973     15        56577.28
1973     16        55965.86
1973     17        54254.50
1973     18        51939.76
1973     19        51053.33
1973     20        51107.86
1973     21        50648.67
1973     22        50881.06
1973     23        51400.51
1973     24        54189.33
1973     25        54984.90
1973     26        53898.46
1973     27        39699.22
1973     28        46497.27
1973     29        51687.00
1973     30        49977.75
1973     31        55338.65
1973     32        59681.40
1973     33        64067.82
1973     34        52012.77
1973     35        39999.15
1973     36        38575.35
1973     37        38713.03
1973     38        39204.50
1973     39        40060.69
1973     40        41901.57
1973     41        43027.88
1973     42        44805.10
1973     43        45440.81
1973     44        45583.75
1973     45        45978.12
1973     46        48058.57
1973     47        51289.39
1973     48        54000.50
1973     49        55375.08
1973     50        56420.09
1973     51        56660.05
1973     52        55733.07
1973     53        51158.12
1973     54        35205.48
1973     55        27886.43
1974     12        63575.76
1974     13        61790.40
1974     14        59830.08
1974     15        58281.16
1974     16        56931.45
1974     17        56384.05
