"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Jun., 2014"	"2014/06"	1915	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jul., 2014"	"2014/07"	1974	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Aug., 2014"	"2014/08"	1946	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Sep., 2014"	"2014/09"	1901	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Oct., 2014"	"2014/10"	2000	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Nov., 2014"	"2014/11"	1886	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Dec., 2014"	"2014/12"	1918	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jan., 2015"	"2015/01"	2018	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Feb., 2015"	"2015/02"	1855	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Mar., 2015"	"2015/03"	2021	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Apr., 2015"	"2015/04"	1960	Not Applicable	Not Applicable
	"< 1 year"	"1"	"May, 2015"	"2015/05"	1975	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jun., 2015"	"2015/06"	2013	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jul., 2015"	"2015/07"	1977	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Aug., 2015"	"2015/08"	1987	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Sep., 2015"	"2015/09"	1958	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Oct., 2015"	"2015/10"	1913	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Nov., 2015"	"2015/11"	1816	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Dec., 2015"	"2015/12"	1962	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jan., 2016"	"2016/01"	1932	Not Applicable	Not Applicable
