month,year,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE
7,2001,21,48454,8928,39526,6689,32799,1664,5535,103,179,294,707,34,47,144,259,8059,37827,5938,31281,1625,5449,84,151,281,698,28,38,103,210,869,1699,751,1518,39,86,19,28,13,9,6,9,41,49
7,2002,0,287625193,141230559,146394634,114269447,117177468,17454795,19229855,1431081,1426032,5619624,6029641,258009,249256,2197603,2282382,121412514,127595059,96101267,100039273,16697032,18433029,1055340,1081578,5482580,5889918,200158,195931,1876137,1955330,19818045,18799575,18168180,17138195,757763,796826,375741,344454,137044,139723,57851,53325,321466,327052
7,2002,1,19429192,9931542,9497650,7557739,7190275,1472519,1430699,122852,118605,392138,384294,22751,21825,363543,351952,7849285,7502956,5674241,5388204,1387843,1348706,86233,83515,375304,368104,16276,15481,309388,298946,2082257,1994694,1883498,1802071,84676,81993,36619,35090,16834,16190,6475,6344,54155,53006
7,2002,2,19872417,10172682,9699735,7750395,7348498,1590654,1541074,127832,123451,382871,374086,22682,21643,298248,290983,8261938,7872571,6025980,5701157,1504470,1457880,91570,88605,367555,359318,16372,15731,255991,249880,1910744,1827164,1724415,1647341,86184,83194,36262,34846,15316,14768,6310,5912,42257,41103
7,2002,3,21261421,10889999,10371422,8323239,7889100,1738432,1686982,144661,141572,396839,373761,23820,22564,263008,257443,9059822,8620326,6669510,6310809,1657133,1607802,107341,104374,382822,360258,18096,17103,224920,219980,1830177,1751096,1653729,1578291,81299,79180,37320,37198,14017,13503,5724,5461,38088,37463
7,2002,4,20610370,10628491,9981879,8245921,7688268,1583526,1527374,143357,132815,411256,391916,23653,21767,220778,219739,8840589,8395937,6619255,6253319,1512399,1459848,103804,98329,398697,379728,18149,16853,188285,187860,1787902,1585942,1626666,1434949,71127,67526,39553,34486,12559,12188,5504,4914,32493,31879
7,2002,5,20243765,10327520,9916245,8075483,7619405,1441991,1491608,128433,115239,477513,479228,27251,24530,176849,186235,8307254,8248497,6223611,6104999,1364618,1415937,87295,84392,463590,465884,20292,19325,147848,157960,2020266,1667748,1851872,1514406,77373,75671,41138,30847,13923,13344,6959,5205,29001,28275
7,2002,6,18691340,9442754,9248586,7435413,7078187,1206384,1341744,110188,102448,529652,557326,24645,22001,136472,146880,7501583,7580908,5643694,5558587,1138850,1267487,73286,72713,516886,544888,18273,16929,110594,120304,1941171,1667678,1791719,1519600,67534,74257,36902,29735,12766,12438,6372,5072,25878,26576
7,2002,7,20658306,10388113,10270193,8298153,7989362,1286245,1440450,108519,106339,542638,575232,21690,20603,130868,138207,8583327,8664315,6629188,6524435,1223764,1370268,75803,76238,530979,563110,16583,15981,107010,114283,1804786,1605878,1668965,1464927,62481,70182,32716,30101,11659,12122,5107,4622,23858,23924
7,2002,8,21751218,10847772,10903446,8774967,8613747,1337985,1508567,109973,111476,485486,520336,20012,19848,119349,129472,9259472,9439157,7307038,7275004,1281936,1447424,79577,82639,475487,509760,15776,15707,99658,108623,1588300,1464289,1467929,1338743,56049,61143,30396,28837,9999,10576,4236,4141,19691,20849
7,2002,9,22889431,11353422,11536009,9322293,9269973,1345323,1519666,107185,111322,442417,489755,18665,18099,117539,127194,10022147,10267692,8092053,8107528,1298706,1467739,81167,87379,433569,480330,15161,14754,101491,109962,1331275,1268317,1230240,1162445,46617,51927,26018,23943,8848,9425,3504,3345,16048,17232
