Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1997:Q1,ageunder40,10.1,13.9,19.8,26.2,7.4,11.8,12.5,10,36.7,36,44.4,9.5
1997:Q2,age70plus,20.5,18.1,18.1,12.4,19.9,12.4,14,28.2,3.5,2.9,2.4,15.5
1997:Q2,age55to69,34.2,31.8,26.1,25.2,38.2,34.7,33.2,31.6,17.2,16.5,15.1,34.9
1997:Q2,age40to54,35,36.1,36.1,36.2,34.9,40.8,40.1,29.4,43,45.1,37.7,39.9
1997:Q2,ageunder40,10.3,13.9,19.8,26.2,7.1,12.1,12.7,10.8,36.4,35.5,44.8,9.7
1997:Q3,age70plus,20,17.7,17.7,12.1,19.3,12.1,13.4,27.9,3.5,2.9,2.4,17.2
1997:Q3,age55to69,34.8,32.4,26.3,25.7,39.2,35.1,33.8,31.9,17.4,16.5,15.8,35.5
1997:Q3,age40to54,34.9,36.1,36.4,36.3,34.5,40.6,39.8,29.2,43.2,45.7,37.1,38.7
1997:Q3,ageunder40,10.4,13.9,19.6,25.9,7.1,12.2,12.9,11.1,35.9,34.9,44.8,8.6
1997:Q4,age70plus,20.3,18,18.9,12,19.4,12.1,13.3,27.8,3.8,3.2,2.5,16.9
1997:Q4,age55to69,34.6,32.3,26.4,25.7,38.8,35.1,33.7,32.1,18.1,17.8,15.7,33.7
1997:Q4,age40to54,34.8,35.9,35.9,36.7,34.6,40.6,39.7,28.7,42.3,44.3,37.2,39.9
1997:Q4,ageunder40,10.3,13.8,18.9,25.7,7.3,12.2,13.3,11.3,35.8,34.8,44.5,9.4
1998:Q1,age70plus,19.4,17.3,18.8,11.2,18.4,11.8,11.7,26.6,3.8,3.3,1.9,17.2
1998:Q1,age55to69,35.4,33.2,26.5,26.3,40.4,35.5,35.4,32.7,18.7,17.9,17.5,32.9
1998:Q1,age40to54,34.8,35.8,36.1,36.8,34,40.4,39.2,28.9,42.3,44.9,35.6,40.2
1998:Q1,ageunder40,10.4,13.8,18.6,25.8,7.2,12.4,13.6,11.7,35.2,33.9,45,9.7
1998:Q2,age70plus,19.4,17.3,19.2,10.9,18.5,11.8,11.6,26.1,3.9,3.4,2,18
1998:Q2,age55to69,35.6,33.3,26.5,26.5,40.1,35.7,35.5,33.4,19,18.3,17.5,32.6
1998:Q2,age40to54,34.7,35.7,36,37.1,34,40.2,38.8,29,42.1,44.6,35.6,40
1998:Q2,ageunder40,10.4,13.7,18.3,25.5,7.4,12.4,14.1,11.5,35,33.7,44.8,9.4
1998:Q3,age70plus,19.7,17.5,17.9,11.6,19.6,12,13.2,26.4,3.8,3.2,2.5,17.7
1998:Q3,age55to69,35.2,32.8,26.7,26.7,37.4,35.8,33.1,34.8,17.8,17.3,16.2,30.7
1998:Q3,age40to54,34.7,36,37.1,37.3,35,40.1,38.9,28.5,44.4,47.1,37.4,41.8
1998:Q3,ageunder40,10.4,13.7,18.3,24.4,8,12.1,14.8,10.3,34,32.4,44,9.7
1998:Q4,age70plus,18.5,16.5,18.8,10.5,17.4,11.2,9.8,25.1,3.8,3.3,2,17.3
1998:Q4,age55to69,36.1,33.8,26.5,26.8,40.9,35.7,37.6,33.6,18.8,18.1,17.9,31.2
1998:Q4,age40to54,35,36,36.6,37.5,34,40.9,39.1,28.8,42.6,45.3,35.3,41.5
1998:Q4,ageunder40,10.4,13.7,18,25.2,7.7,12.1,13.6,12.5,34.8,33.3,44.8,9.9
1999:Q1,age70plus,18.4,16.4,18.2,10.4,18,11.2,10,24.9,3.6,3.1,1.8,17.8
